movie_id,title,industry,release_year,imdb_rating,studio,language_id,budget,revenue,unit,currency
101,K.G.F: Chapter 2,Bollywood,2022,8.4,Hombale Films,3,1,12.5,Billions,INR
102,Doctor Strange in the Multiverse of Madness,Hollywood,2022,7,Marvel Studios,5,200,954.8,Millions,USD
103,Thor: The Dark World,Hollywood,2013,6.8,Marvel Studios,5,165,644.8,Millions,USD
104,Thor: Ragnarok,Hollywood,2017,7.9,Marvel Studios,5,180,854,Millions,USD
105,Thor: Love and Thunder,Hollywood,2022,6.8,Marvel Studios,5,250,670,Millions,USD
106,Sholay,Bollywood,1975,8.1,United Producers,1,#N/A,#N/A,#N/A,#N/A
107,Dilwale Dulhania Le Jayenge,Bollywood,1995,8,Yash Raj Films,1,400,2000,Millions,INR
108,3 Idiots,Bollywood,2009,8.4,Vinod Chopra Films,1,550,4000,Millions,INR
109,Kabhi Khushi Kabhie Gham,Bollywood,2001,7.4,Dharma Productions,1,390,1360,Millions,INR
110,Bajirao Mastani,Bollywood,2015,7.2,Not Available,1,1.4,3.5,Billions,INR
111,The Shawshank Redemption,Hollywood,1994,9.3,Castle Rock Entertainment,5,25,73.3,Millions,USD
112,Inception,Hollywood,2010,8.8,Warner Bros. Pictures,5,#N/A,#N/A,#N/A,#N/A
113,Interstellar,Hollywood,2014,8.6,Warner Bros. Pictures,5,165,701.8,Millions,USD
115,The Pursuit of Happyness,Hollywood,2006,8,Columbia Pictures,5,55,307.1,Millions,USD
116,Gladiator,Hollywood,2000,8.5,Universal Pictures,5,103,460.5,Millions,USD
117,Titanic,Hollywood,1997,7.9,Paramount Pictures,5,200,2202,Millions,USD
118,It's a Wonderful Life,Hollywood,1946,8.6,Liberty Films,5,3.18,3.3,Millions,USD
119,Avatar,Hollywood,2009,7.8,20th Century Fox,5,237,2847,Millions,USD
120,The Godfather,Hollywood,1972,9.2,Paramount Pictures,5,7.2,291,Millions,USD
121,The Dark Knight,Hollywood,2008,9,Syncopy,5,185,1006,Millions,USD
122,Schindler's List,Hollywood,1993,9,Universal Pictures,5,22,322.2,Millions,USD
123,Jurassic Park,Hollywood,1993,8.2,Universal Pictures,5,63,1046,Millions,USD
124,Parasite,Hollywood,2019,8.5,Not Available,5,15.5,263.1,Millions,USD
125,Avengers: Endgame,Hollywood,2019,8.4,Marvel Studios,5,400,2798,Millions,USD
126,Avengers: Infinity War,Hollywood,2018,8.4,Marvel Studios,5,400,2048,Millions,USD
127,Pather Panchali,Bollywood,1955,8.3,Government of West Bengal,7,70,100,Millions,INR
128,Taare Zameen Par,Bollywood,2007,8.3,Not Available,1,120,1350,Millions,INR
129,Munna Bhai M.B.B.S.,Bollywood,2003,8.1,Vinod Chopra Productions,1,100,410,Millions,INR
130,PK,Bollywood,2014,8.1,Vinod Chopra Films,1,850,8540,Millions,INR
131,Sanju,Bollywood,2018,NULL,Vinod Chopra Films,1,1,5.9,Billions,INR
132,Pushpa: The Rise - Part 1,Bollywood,2021,7.6,Mythri Movie Makers,2,2,3.6,Billions,INR
133,RRR,Bollywood,2022,8,DVV Entertainment,2,5.5,12,Billions,INR
134,Baahubali: The Beginning,Bollywood,2015,8,Arka Media Works,2,1.8,6.5,Billions,INR
135,The Kashmir Files,Bollywood,2022,8.3,Zee Studios,1,250,3409,Millions,INR
136,Bajrangi Bhaijaan,Bollywood,2015,8.1,Salman Khan Films,1,900,11690,Millions,INR
137,Captain America: The First Avenger,Hollywood,2011,6.9,Marvel Studios,5,216.7,370.6,Millions,USD
138,Captain America: The Winter Soldier,Hollywood,2014,7.8,Marvel Studios,5,177,714.4,Millions,USD
139,Race 3,Bollywood,2018,1.9,Salman Khan Films,1,1.8,3.1,Billions,INR
140,Shershaah,Bollywood,2021,8.4,Dharma Productions,1,500,950,Millions,INR
