GeoKey,City,State,CountryName
1,Alexandria,New South Wales,Australia
2,Coffs Harbour,New South Wales,Australia
3,Brisbane,Queensland,Australia
4,Caloundra,Queensland,Australia
5,Cloverdale,South Australia,Australia
6,Hobart,Tasmania,Australia
7,Bendigo,Victoria,Australia
8,Cranbourne,Victoria,Australia
9,Berlin,Brandenburg,Germany
10,Eilenburg,Brandenburg,Germany
11,Berlin,Hamburg,Germany
12,Berlin,Nordrhein-Westfalen,Germany
13,Berlin,Nordrhein-Westfalen,Germany
14,Berlin,Saarland,Germany
15,Berlin,Saarland,Germany
16,Abingdon,England,United Kingdom
17,Basingstoke Hants,England,United Kingdom
18,Berks,England,United Kingdom
19,Berkshire,England,United Kingdom
20,Phoenix,Arizona,United States
21,Alhambra,California,United States
22,Denver,Colorado,United States
23,Englewood,Colorado,United States
24,East Haven,Connecticut,United States
25,Altamonte Springs,Florida,United States
26,Bradenton,Florida,United States
27,Clearwater,Florida,United States
28,Vero Beach,Florida,United States
29,Atlanta,Georgia,United States
30,Augusta,Georgia,United States
31,Carol Stream,Illinois,United States
32,Chicago,Illinois,United States
33,Daleville,Indiana,United States
34,Campbellsville,Kentucky,United States
35,Braintree,Massachusetts,United States
36,Norwood,Massachusetts,United States
37,Central Valley,New York,United States
38,Cheektowaga,New York,United States
39,Clay,New York,United States
40,Burbank,Ohio,United States
41,Arlington,Texas,United States
42,Austin,Texas,United States
43,Bountiful,Utah,United States
44,Cedar City,Utah,United States
45,Tooele,Utah,United States
46,Chantilly,Virginia,United States
47,Falls Church,Virginia,United States
48,Ballard,Washington,United States
49,Bellevue,Washington,United States
