GeoID,city,region,country
1,Nampa,Idaho,United States
2,Dingwall,Ross-shire,United Kingdom
3,Gulfport,Mississippi,United States
4,Stratford-upon-Avon,Warwickshire,United Kingdom
5,Kington,Herefordshire,United Kingdom
6,Llandrindod Wells,Radnorshire,United Kingdom
7,Bridgeport,Connecticut,United States
8,Gulfport,Mississippi,United States
9,Bridgeport,Connecticut,United States
10,Houston,Texas,United States
11,Milwaukee,Wisconsin,United States
12,Falkirk,Stirlingshire,United Kingdom
13,Hemel Hempstead,Hertfordshire,United Kingdom
14,Hastings,Sussex,United Kingdom
15,Montgomery,Montgomeryshire,United Kingdom
16,Penzance,Cornwall,United Kingdom
17,Knighton,Radnorshire,United Kingdom
18,Barnstaple,Devon,United Kingdom
19,Fairbanks,Alaska,United States
20,Inverness,Inverness-shire,United Kingdom
21,Cincinnati,Ohio,United States
22,Clarksville,Tennessee,United States
23,Ramsey,Huntingdonshire,United Kingdom
24,Augusta,Georgia,United States
25,Jonesboro,Arkansas,United States
26,Louisville,Kentucky,United States
27,Fort Wayne,Indiana,United States
28,Haverhill,Suffolk,United Kingdom
29,Buckley,Flintshire,United Kingdom
30,Llandovery,Carmarthenshire,United Kingdom
